MOF_name,fun,delta_FE,delta_dLM_FE,delta_vdw,delta_ebond,delta_eang,delta_edihe,delta_eimp,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_tse_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_3-1B_2CH3_Chnl,2CH3,-0.3701916499999989,-0.4237630889999999,-1.0990000000000002,-0.2549999999999999,0.4129999999999998,0.6880000000000002,-0.022,0.879375,0.3333333333333333,1341.79,5912.24,4.40623747,0.012361323,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_jph_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-2B_2NH2_Chnl,2NH2,-0.7332295499999972,-0.758116441,-0.7969999999999997,-0.1589999999999998,0.2360000000000002,0.1960000000000001,-0.0239999999999999,0.94195,0.3619047619047619,671.892,7000.72,10.41940176,0.006665059,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_hbk_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_2-ntn_edge_1-1B_4Br_Chnl_2-ntn_edge,4Br,0.1714121600000027,0.1714121619999997,0.25,0.371,0.1229999999999997,1.4009999999999998,-0.005,0.640325,0.25,2606.18,3503.81,1.344422127,0.036602693,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_tfp_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2CF3_Chnl,2CF3,-1.735100359999997,-1.804574044,0.1759999999999997,0.0390000000000001,0.5430000000000001,-0.3130000000000001,-0.0359999999999999,0.8728,0.3076923076923077,1377.44,5410.11,3.927652638,0.011105108,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_1-1B_4H_Chnl_2-ntn_edge_3-1B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76035,0.268041237113402,2098.67,4287.78,2.04309709,0.021346166,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_nox_v1-3c_B_Ch_v2-4c_Cu_1_Ch_1-1B_2Br_Chnl_1-ntn_edge,2Br,-1.167820930000001,-1.167820926,-0.3889999999999998,-0.0059999999999997,0.0879999999999998,0.8100000000000005,-0.002,0.815875,0.3111111111111111,1819.03,5106.6,2.807324872,0.02126513,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_2-ntn_edge_1-2B_2F_Chnl_2-ntn_edge,2F,-0.2545402899999978,-0.2545402929999998,0.0369999999999999,-0.008,-0.0019999999999997,0.1840000000000001,-0.001,0.710025,0.25,2654.82,4005.62,1.508812218,0.032615017,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_hbk_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_2-1B_2Br_Chnl_2-ntn_edge_1-1B_2Br_Chnl,2Br,-0.616721260000002,-0.616721266,-0.3080000000000003,0.0259999999999998,0.1320000000000001,0.9549999999999996,0.006,0.81345,0.2771084337349397,1660.49,4410.01,2.655844984,0.019888135,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_tru_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-4c_Cu_1_Ch_4-1B_2Br_Chnl,2Br,-1.0414733299999988,-1.041473331,-0.286,0.0369999999999999,0.1820000000000001,1.3649999999999998,0.005,0.868525,0.3265306122448979,1368.9,5762.81,4.209817294,0.014603676,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_geo_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_2-ntn_edge_1-1B_2NO2_Chnl,2NO2,-0.5563399500000017,-0.6032420169999999,-0.1900000000000004,-0.0929999999999999,0.1299999999999999,1.3019999999999996,0.006,0.747625,0.3086419753086419,1859.68,3945.67,2.121696254,0.027541674,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
