MOF_name,fun,delta_FE,delta_dLM_FE,delta_SE,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_4F_Chnl,4F,-1.530226830000002,-1.53022683,0.8193229879885235,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_4H_Chnl,4H,0.0,0.0,0.0,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2Br_Chnl,2Br,-1.0954867700000008,-1.095486762,1.273530594056707,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2CF3_Chnl,2CF3,-1.5840427000000012,-1.677792691,0.7589275832895019,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2CH3_Chnl,2CH3,-0.3262870299999996,-0.42003702,-0.438896466274616,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2CN_Chnl,2CN,-0.3320106600000017,-0.3702050929999999,0.3796384381090023,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2F_Chnl,2F,-0.8044034199999999,-0.8044034139999999,0.4532907231298058,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2NH2_Chnl,2NH2,-0.3356043799999995,-0.4043543719999999,0.2777219556276487,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2NO2_Chnl,2NO2,0.0048098799999998,-0.0639401159999999,1.9776710305406928,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2OH_Chnl,2OH,-0.5575518900000027,-0.5957463329999999,0.2460380783598283,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,36.02968,1.0,2395.17435544,1.36631,2342.81619784,0.99025,1.6062,0.89,-1.24,0.435136,3.066,4.0
